year,dam,sire,f_pct,verdict,rescue,reason,top_ancestor,top_contrib_pct
1,RR PALOMA PICASSO,5C'S CAPTAIN CHAOS,0.00,PROCEED,,F=0.00% PROCEED; no close common ancestor in the recorded pedigree,,
1,RR WONDER WOMAN,5C'S CAPTAIN CHAOS,0.00,PROCEED,,F=0.00% PROCEED; no close common ancestor in the recorded pedigree,,
1,SC'S CHARENTE,ARAPAHO DELGADO'S ILLYAPA,0.00,PROCEED,R,"rescue: last carrier of AUSSIE GUNS -N- ROSES Huarava 320036107 - LIinited States, BISTURI, LV BLACK EYED SUSAN (+2 more); F=0.00% PROCEED",,
1,SC'S CLARKIA,CIRCLE CLIFF'S MELVIN,0.08,PROCEED,,F=0.08% PROCEED; no close common ancestor in the recorded pedigree,4PERUVIAN LEGACY 6016,64.0
1,THAT'LL DO BLACKBEARD'S BOOTY,CIRCLE CLIFF'S MELVIN,0.08,PROCEED,,F=0.08% PROCEED; no close common ancestor in the recorded pedigree,4PERUVIAN LEGACY 6016,61.5
1,RED GRANITES JAFFA,CRESCENT MOON'S KEMMAUS,0.00,PROCEED,,F=0.00% PROCEED; no close common ancestor in the recorded pedigree,,
1,RED GRANITES JENGA,CRESCENT MOON'S KEMMAUS,0.00,PROCEED,,F=0.00% PROCEED; no close common ancestor in the recorded pedigree,,
1,RGR'S MISS CONTRARY,CRESCENT MOON'S KEMMAUS,0.00,PROCEED,,F=0.00% PROCEED; no close common ancestor in the recorded pedigree,,
1,ROYAL DIAMANTE'S JEWEL,CRESCENT MOON'S KEMMAUS,0.06,PROCEED,,F=0.06% PROCEED; no close common ancestor in the recorded pedigree,PPPERUVIAN ROYAL FAWN 6014,100.0
1,IRISH MEADOWS TAYT,CRYSTAL ROYAL GOLD'S MACKINAW,0.00,PROCEED,R,"rescue: last carrier of SNOWMASS MIDNIGHT FOX, SNOWMASS QUECHUA'S SHAHTOOSH; F=0.00% PROCEED",,
1,4-SIGHT'S HOLIDAY,G-TRIBE'S ROCKY'S ASH,0.02,PROCEED,,F=0.02% PROCEED; no close common ancestor in the recorded pedigree,SNOWMASS ROSE PEARL,100.0
1,5C'S CHANTERELLA,G-TRIBE'S ROCKY'S ASH,0.00,PROCEED,,F=0.00% PROCEED; no close common ancestor in the recorded pedigree,,
1,BOMBER'S DIAMOND LIL,G-TRIBE'S ROCKY'S ASH,0.00,PROCEED,,F=0.00% PROCEED; no close common ancestor in the recorded pedigree,,
1,ESTATES LA PRESTIGE CRIMSON,G-TRIBE'S ROCKY'S ASH,0.00,PROCEED,,F=0.00% PROCEED; no close common ancestor in the recorded pedigree,,
1,SNOWMASS IRON MAIDEN,HMAF'S AIRGEAD,0.05,PROCEED,,F=0.05% PROCEED; no close common ancestor in the recorded pedigree,,
1,THOR FARMS LOOKING GLASS,HMAF'S AIRGEAD,0.07,PROCEED,,F=0.07% PROCEED; no close common ancestor in the recorded pedigree,,
1,WILLOWWIND ECHO DELTA,HMAF'S AIRGEAD,0.00,PROCEED,,F=0.00% PROCEED; no close common ancestor in the recorded pedigree,,
1,WILLOWWIND INSPIRATION,HMAF'S AIRGEAD,0.10,PROCEED,,F=0.10% PROCEED; no close common ancestor in the recorded pedigree,PPPERUVIAN AUGUSTO 6009,100.0
