animal,sex,verdict,mk_pct,uniqueness_pct,booked,booked_as,last_of_now,last_of_after,duplicated_by_cria,extinct_if_sold,ne_delta_if_sold,why
TCB CORKY,M,KEEP_UNTIL_WEANING,0.09,100.00,Y,sire,6PERUVIAN ACCOYO THE LAST DONIMPR98,,6PERUVIAN ACCOYO THE LAST DONIMPR98,6PERUVIAN ACCOYO THE LAST DONIMPR98,-1.0,TCB CORKY is the last living carrier of 6PERUVIAN ACCOYO THE LAST DONIMPR98 today. A year-1 cria is expected to carry it at ≥ 3.1% — keep until weaning.
HOWLING HILL SING THE BODY ELECTRIC,F,KEEP_UNTIL_WEANING,0.15,87.50,Y,dam,CPERUVIAN VALERIE 1483; EL SEGUNDO DE ROYAL FAWN; MULOWE; 5PERUVIAN CHARLIE'S ANGEL 8494; 5PERUVIAN DOM ALAMIR 9043; PPPERUVIAN FINESSE 5093; BRITTANY'S DESPARADO; SENOIA; TELL HOT SHOT; TELL BLIZZARD; LUNAR ECLIPSE; WOODED HILLS CHILE PEPPER,,CPERUVIAN VALERIE 1483; EL SEGUNDO DE ROYAL FAWN; MULOWE; 5PERUVIAN CHARLIE'S ANGEL 8494; 5PERUVIAN DOM ALAMIR 9043; PPPERUVIAN FINESSE 5093; BRITTANY'S DESPARADO; SENOIA; TELL HOT SHOT; TELL BLIZZARD; LUNAR ECLIPSE; WOODED HILLS CHILE PEPPER,CPERUVIAN VALERIE 1483; EL SEGUNDO DE ROYAL FAWN; MULOWE; 5PERUVIAN CHARLIE'S ANGEL 8494; 5PERUVIAN DOM ALAMIR 9043; PPPERUVIAN FINESSE 5093; BRITTANY'S DESPARADO; SENOIA; TELL HOT SHOT; TELL BLIZZARD; LUNAR ECLIPSE; WOODED HILLS CHILE PEPPER,-1.0,"HOWLING HILL SING THE BODY ELECTRIC is the last living carrier of CPERUVIAN VALERIE 1483, EL SEGUNDO DE ROYAL FAWN, MULOWE (+9 more) today. A year-1 cria is expected to carry it at ≥ 3.1% — keep until weaning."
CIRCLE CLIFF'S SWEET CAROLINE,F,KEEP_UNTIL_WEANING,0.58,78.12,Y,dam,CALIGULA'S ACCOYO POSEIDON; MILE HIGH PERUVIAN GENESEE; CHELSEA FARMS' TESS'S FLAME; CRESCENT MOON'S ESMERALDA,,CALIGULA'S ACCOYO POSEIDON; MILE HIGH PERUVIAN GENESEE; CHELSEA FARMS' TESS'S FLAME; CRESCENT MOON'S ESMERALDA,CALIGULA'S ACCOYO POSEIDON; MILE HIGH PERUVIAN GENESEE; CHELSEA FARMS' TESS'S FLAME; CRESCENT MOON'S ESMERALDA,-0.6,"CIRCLE CLIFF'S SWEET CAROLINE is the last living carrier of CALIGULA'S ACCOYO POSEIDON, MILE HIGH PERUVIAN GENESEE, CHELSEA FARMS' TESS'S FLAME (+1 more) today. A year-1 cria is expected to carry it at ≥ 3.1% — keep until weaning."
MARY'S SIQUANI BELLE,F,KEEP_UNTIL_WEANING,0.39,75.00,Y,dam,5PERUVIAN CHACHANI 8690; CPERUVIAN CHILAM 1338 IMPF98; PPERUVIAN VENGADOR G4568; PPPERUVIAN COROPUNA 4603,,5PERUVIAN CHACHANI 8690; CPERUVIAN CHILAM 1338 IMPF98; PPERUVIAN VENGADOR G4568; PPPERUVIAN COROPUNA 4603,5PERUVIAN CHACHANI 8690; CPERUVIAN CHILAM 1338 IMPF98; PPERUVIAN VENGADOR G4568; PPPERUVIAN COROPUNA 4603,-0.8,"MARY'S SIQUANI BELLE is the last living carrier of 5PERUVIAN CHACHANI 8690, CPERUVIAN CHILAM 1338 IMPF98, PPERUVIAN VENGADOR G4568 (+1 more) today. A year-1 cria is expected to carry it at ≥ 3.1% — keep until weaning."
4-SIGHT'S HOLIDAY,F,KEEP_UNTIL_WEANING,0.19,75.00,Y,dam,AYSEN'S LAUCA IMPQ98; ALPACARIA'S VOX EXCALIBUR; KPR ANGELL; AVATAR; PENNIE; CPERUVIAN CAMILLA 1258 IMPF98; SA PERUVIAN CHOCO; TCB'S CAMEO; SILVERTONE; MARIAH MAE,,AYSEN'S LAUCA IMPQ98; ALPACARIA'S VOX EXCALIBUR; KPR ANGELL; AVATAR; PENNIE; CPERUVIAN CAMILLA 1258 IMPF98; SA PERUVIAN CHOCO; TCB'S CAMEO; SILVERTONE; MARIAH MAE,AYSEN'S LAUCA IMPQ98; ALPACARIA'S VOX EXCALIBUR; KPR ANGELL; AVATAR; PENNIE; CPERUVIAN CAMILLA 1258 IMPF98; SA PERUVIAN CHOCO; TCB'S CAMEO; SILVERTONE; MARIAH MAE,-0.9,"4-SIGHT'S HOLIDAY is the last living carrier of AYSEN'S LAUCA IMPQ98, ALPACARIA'S VOX EXCALIBUR, KPR ANGELL (+7 more) today. A year-1 cria is expected to carry it at ≥ 3.1% — keep until weaning."
SC'S CARRINGTON,F,KEEP_UNTIL_WEANING,0.34,68.75,Y,dam,SARA'S SAHARA; PPPERUVIAN SWEETNESS 4854; KAPPIE; PCA PERUVIAN MICROSOFT; PPPERUVIAN CORACORA 5055; PPERUVIAN LEON G4560; YAKUTAT VON TR; KPR CARMELLA,,SARA'S SAHARA; PPPERUVIAN SWEETNESS 4854; KAPPIE; PCA PERUVIAN MICROSOFT; PPPERUVIAN CORACORA 5055; PPERUVIAN LEON G4560; YAKUTAT VON TR; KPR CARMELLA,SARA'S SAHARA; PPPERUVIAN SWEETNESS 4854; KAPPIE; PCA PERUVIAN MICROSOFT; PPPERUVIAN CORACORA 5055; PPERUVIAN LEON G4560; YAKUTAT VON TR; KPR CARMELLA,-0.8,"SC'S CARRINGTON is the last living carrier of SARA'S SAHARA, PPPERUVIAN SWEETNESS 4854, KAPPIE (+5 more) today. A year-1 cria is expected to carry it at ≥ 3.1% — keep until weaning."
MAMGB NATAN SAPA,M,KEEP_UNTIL_WEANING,0.23,68.75,Y,sire,QUEEN CHARLOTTE 187; SA GREYSTOKE; KPR MAGDA; JOHNSON S$112; TWIZZLER D118 ALOA,,QUEEN CHARLOTTE 187; SA GREYSTOKE; KPR MAGDA; JOHNSON S$112; TWIZZLER D118 ALOA,QUEEN CHARLOTTE 187; SA GREYSTOKE; KPR MAGDA; JOHNSON S$112; TWIZZLER D118 ALOA,-0.9,"MAMGB NATAN SAPA is the last living carrier of QUEEN CHARLOTTE 187, SA GREYSTOKE, KPR MAGDA (+2 more) today. A year-1 cria is expected to carry it at ≥ 3.1% — keep until weaning."
THAT'LL DO BLACKBEARD'S BOOTY,F,KEEP_UNTIL_WEANING,0.77,65.62,Y,dam,5PERUVIAN ROYAL INCA LEGEND 9058; 5PERUVIAN MICAY 8452; WOODED HILLS WINSTON; SEBRING JAX; MILLENNIUM GIRL URAQT; MBF EL DORADO; HVLA ZEPHYR,,5PERUVIAN ROYAL INCA LEGEND 9058; 5PERUVIAN MICAY 8452; WOODED HILLS WINSTON; SEBRING JAX; MILLENNIUM GIRL URAQT; MBF EL DORADO; HVLA ZEPHYR,5PERUVIAN ROYAL INCA LEGEND 9058; 5PERUVIAN MICAY 8452; WOODED HILLS WINSTON; SEBRING JAX; MILLENNIUM GIRL URAQT; MBF EL DORADO; HVLA ZEPHYR,-0.4,"THAT'LL DO BLACKBEARD'S BOOTY is the last living carrier of 5PERUVIAN ROYAL INCA LEGEND 9058, 5PERUVIAN MICAY 8452, WOODED HILLS WINSTON (+4 more) today. A year-1 cria is expected to carry it at ≥ 3.1% — keep until weaning."
HMAF'S AIRGEAD,M,KEEP_UNTIL_WEANING,0.10,62.50,Y,sire,MAYA III; PPPERUVIAN CEBICHE 4890; BLACK PERUVIAN ROYAL FOREST; MFI VISION; BOLIVIAN VESUVIUS; 6PERUVIAN FORTUNATA 6494 IMPR98; QUEEN OF SPADES 339,,MAYA III; PPPERUVIAN CEBICHE 4890; BLACK PERUVIAN ROYAL FOREST; MFI VISION; BOLIVIAN VESUVIUS; 6PERUVIAN FORTUNATA 6494 IMPR98; QUEEN OF SPADES 339,MAYA III; PPPERUVIAN CEBICHE 4890; BLACK PERUVIAN ROYAL FOREST; MFI VISION; BOLIVIAN VESUVIUS; 6PERUVIAN FORTUNATA 6494 IMPR98; QUEEN OF SPADES 339,-1.0,"HMAF'S AIRGEAD is the last living carrier of MAYA III, PPPERUVIAN CEBICHE 4890, BLACK PERUVIAN ROYAL FOREST (+4 more) today. A year-1 cria is expected to carry it at ≥ 3.1% — keep until weaning."
SC'S CRICKIT,F,KEEP_UNTIL_WEANING,0.35,59.38,Y,dam,LINNEA CODI W1063; SNOWMASS ROYAL FLUSH; SNOWMASS SWEET DREAMS; FCA CINDY; PPPERUVIAN ASTILLERO 4650; JOLIMONT PERUVIAN TRINITY IMPA98,,LINNEA CODI W1063; SNOWMASS ROYAL FLUSH; SNOWMASS SWEET DREAMS; FCA CINDY; PPPERUVIAN ASTILLERO 4650; JOLIMONT PERUVIAN TRINITY IMPA98,LINNEA CODI W1063; SNOWMASS ROYAL FLUSH; SNOWMASS SWEET DREAMS; FCA CINDY; PPPERUVIAN ASTILLERO 4650; JOLIMONT PERUVIAN TRINITY IMPA98,-0.8,"SC'S CRICKIT is the last living carrier of LINNEA CODI W1063, SNOWMASS ROYAL FLUSH, SNOWMASS SWEET DREAMS (+3 more) today. A year-1 cria is expected to carry it at ≥ 3.1% — keep until weaning."
