cria,dam,sire,f_pct,must_stay,sellable,n_covers,covers,uniqueness_pct,why
HOWLING HILL SING THE BODY ELECTRIC × SUNNYHILL'S ZANG'S BALTAZAR,HOWLING HILL SING THE BODY ELECTRIC,SUNNYHILL'S ZANG'S BALTAZAR,0.00,Y,,19,5PERUVIAN CHARLIE'S ANGEL 8494; 5PERUVIAN DOM ALAMIR 9043; ACCOYO AMERICA ASPEN AC020; BRITTANY'S DESPARADO; CPERUVIAN VALERIE 1483; EL SEGUNDO DE ROYAL FAWN; FIBRE WORKS DIAMONTE; KELOWNA'S SUNDANCE KID; LUNAR ECLIPSE; MULOWE; PANAM'S SILVER ANGEL IMPD98 TC); PCA HEMINGWAY-ACCOYO NAUTILUS; PPPERUVIAN FINESSE 5093; SENOIA; SUNNYVIEW ALEJANDRIA; SUNNYVIEW ANJELITA; TELL BLIZZARD; TELL HOT SHOT; WOODED HILLS CHILE PEPPER,65.62,"Must stay. Covers 19 last founder(s) the year-1 parents would take with them: 5PERUVIAN CHARLIE'S ANGEL 8494, 5PERUVIAN DOM ALAMIR 9043, ACCOYO AMERICA ASPEN AC020 (+16 more)."
SC'S CARRINGTON × PALLATON'S KALIBAUT ALYST,SC'S CARRINGTON,PALLATON'S KALIBAUT ALYST,0.05,Y,,16,"ACCOYO AMERICA APOCALYPSE; ACCOYO AMERICA MARATHON; KAPPIE; KPR CARMELLA; MFI PERUVIAN CHAMPAGNE; NWA, LTD SHIRLEY; PCA PERUVIAN MICROSOFT; PPERUVIAN LEON G4560; PPPERUVIAN CORACORA 5055; PPPERUVIAN SWEETNESS 4854; PRISTINA'S ACCOYO PRINCESSA; SARA'S SAHARA; SONORA'S ACCOYO FERRARI; TICKITY BOO VICTORIA; TNT PERUVIAN BLAITHIN; YAKUTAT VON TR",50.00,"Must stay. Covers 16 last founder(s) the year-1 parents would take with them: ACCOYO AMERICA APOCALYPSE, ACCOYO AMERICA MARATHON, KAPPIE (+13 more)."
4-SIGHT'S HOLIDAY × G-TRIBE'S ROCKY'S ASH,4-SIGHT'S HOLIDAY,G-TRIBE'S ROCKY'S ASH,0.02,Y,,15,ALPACARIA'S VOX EXCALIBUR; AVA DOMITA MARTI 059N; AVATAR; AYSEN'S LAUCA IMPQ98; CPERUVIAN CAMILLA 1258 IMPF98; EXPRESS' PERUVIAN SPICE; KPR ANGELL; MARIAH MAE; MESSIAH ALYST; PENNIE; R&RR ALDER 097L; SA PERUVIAN CHOCO; SHAZZY ALYST; SILVERTONE; TCB'S CAMEO,46.88,"Must stay. Covers 15 last founder(s) the year-1 parents would take with them: ALPACARIA'S VOX EXCALIBUR, AVA DOMITA MARTI 059N, AVATAR (+12 more)."
HERITAGE SILVER PROMISE × SUNNYHILL'S ZANG'S BALTAZAR,HERITAGE SILVER PROMISE,SUNNYHILL'S ZANG'S BALTAZAR,0.00,Y,,13,5PERUVIAN SILVERADO 9042; ACCOYO AMERICA ASPEN AC020; BD ROSIE'S THOMAS; FIBRE WORKS DIAMONTE; KELOWNA'S SUNDANCE KID; LA CARAMELLA CODI W966; MFI PERUVIAN GLACIAL STORM; PANAM'S SILVER ANGEL IMPD98 TC); PCA HEMINGWAY-ACCOYO NAUTILUS; SA PERUVIAN DASH OF CLASS; SUNNYVIEW ALEJANDRIA; SUNNYVIEW ANJELITA; VIAC MISS-C,43.75,"Must stay. Covers 13 last founder(s) the year-1 parents would take with them: 5PERUVIAN SILVERADO 9042, ACCOYO AMERICA ASPEN AC020, BD ROSIE'S THOMAS (+10 more)."
MARY'S SIQUANI BELLE × PALLATON'S KALIBAUT ALYST,MARY'S SIQUANI BELLE,PALLATON'S KALIBAUT ALYST,0.02,Y,,12,"5PERUVIAN CHACHANI 8690; ACCOYO AMERICA APOCALYPSE; ACCOYO AMERICA MARATHON; CPERUVIAN CHILAM 1338 IMPF98; MFI PERUVIAN CHAMPAGNE; NWA, LTD SHIRLEY; PPERUVIAN VENGADOR G4568; PPPERUVIAN COROPUNA 4603; PRISTINA'S ACCOYO PRINCESSA; SONORA'S ACCOYO FERRARI; TICKITY BOO VICTORIA; TNT PERUVIAN BLAITHIN",40.62,"Must stay. Covers 12 last founder(s) the year-1 parents would take with them: 5PERUVIAN CHACHANI 8690, ACCOYO AMERICA APOCALYPSE, ACCOYO AMERICA MARATHON (+9 more)."
MISS ALOHA MOONSHINE × SUNNYHILL'S ZANG'S BALTAZAR,MISS ALOHA MOONSHINE,SUNNYHILL'S ZANG'S BALTAZAR,0.00,Y,,12,ACA CRISPINA; ACCOYO AMERICA ASPEN AC020; FIBRE WORKS DIAMONTE; KELOWNA'S SUNDANCE KID; MAPLE BROOK BARNABUS Huacavya 840936; MMR MARCOYO; NORTHMARK'S MESSIAH'S PROPHETESS'; PANAM'S SILVER ANGEL IMPD98 TC); PCA HEMINGWAY-ACCOYO NAUTILUS; SUNNYVIEW ALEJANDRIA; SUNNYVIEW ANJELITA; TH HEIDI'S SASHA,40.62,"Must stay. Covers 12 last founder(s) the year-1 parents would take with them: ACA CRISPINA, ACCOYO AMERICA ASPEN AC020, FIBRE WORKS DIAMONTE (+9 more)."
SNOWMASS IRON MAIDEN × HMAF'S AIRGEAD,SNOWMASS IRON MAIDEN,HMAF'S AIRGEAD,0.05,Y,,12,6PERUVIAN FORTUNATA 6494 IMPR98; BLACK PERUVIAN ROYAL FOREST; BOLIVIAN VESUVIUS; DISAPPEARING CREEK RINCON'S KALANI'; ENQUELGA BIANCA; MAYA III; MFI VISION; ORE HILL COMANCHE; PERUVIAN MACUSANI G204; PPPERUVIAN CEBICHE 4890; PRECIOSE IMPORTAB98; QUEEN OF SPADES 339,40.62,"Must stay. Covers 12 last founder(s) the year-1 parents would take with them: 6PERUVIAN FORTUNATA 6494 IMPR98, BLACK PERUVIAN ROYAL FOREST, BOLIVIAN VESUVIUS (+9 more)."
PARAGON'S ESMERALDA × PALLATON'S KALIBAUT ALYST,PARAGON'S ESMERALDA,PALLATON'S KALIBAUT ALYST,0.32,Y,,12,"5PERUVIAN DONA APARECIDA 8520; ACCOYO AMERICA APOCALYPSE; ACCOYO AMERICA MARATHON; HOLLYWOOD; MFI PERUVIAN CHAMPAGNE; NWA, LTD SHIRLEY; PPPERUVIAN CHICHA 4975; PRISTINA'S ACCOYO PRINCESSA; SONORA'S ACCOYO FERRARI; TABITHA OF AYS; TICKITY BOO VICTORIA; TNT PERUVIAN BLAITHIN",37.50,"Must stay. Covers 12 last founder(s) the year-1 parents would take with them: 5PERUVIAN DONA APARECIDA 8520, ACCOYO AMERICA APOCALYPSE, ACCOYO AMERICA MARATHON (+9 more)."
MISS AUTARY × LIBERTYALPACAS SMOKE SCREEN,MISS AUTARY,LIBERTYALPACAS SMOKE SCREEN,0.00,Y,,10,ARISTO ANTOINETTE; COYO DESTINI; CPERUVIAN DANIEL 111 IMPF98; GHOST RIVER SHY ANNE; JOLIMONT 2 PERUVIAN RINGO IMPB98; JOLIMONT PERUVIAN AREQUIPA IMPAQ&; MMR SIR CONDE; PERUVIAN FAWNA W914; PPPERUVIAN TRINKET 4657; W LA SILVERADO,46.88,"Must stay. Covers 10 last founder(s) the year-1 parents would take with them: ARISTO ANTOINETTE, COYO DESTINI, CPERUVIAN DANIEL 111 IMPF98 (+7 more)."
PATAGONIA'S DUSTY × PALLATON'S KALIBAUT ALYST,PATAGONIA'S DUSTY,PALLATON'S KALIBAUT ALYST,0.00,Y,,10,"ACCOYO AMERICA APOCALYPSE; ACCOYO AMERICA MARATHON; HERMANA 184; MARIGOLD 387; MFI PERUVIAN CHAMPAGNE; NWA, LTD SHIRLEY; PRISTINA'S ACCOYO PRINCESSA; SONORA'S ACCOYO FERRARI; TICKITY BOO VICTORIA; TNT PERUVIAN BLAITHIN",43.75,"Must stay. Covers 10 last founder(s) the year-1 parents would take with them: ACCOYO AMERICA APOCALYPSE, ACCOYO AMERICA MARATHON, HERMANA 184 (+7 more)."
